"Ramas de Conocimiento: AyH:         Artes y Humanidades
C:            Ciencias
IyA:          Ingeniería y Arquitectura
SD:          Ciencias de la Salud
SyJ:         Ciencias Sociales y Jurídicas
Grados",Rama de conocimiento,Historia de la Filosofía,Análisis Musical II,Artes Escénicas II,Dibujo Artístico II,Latín II,Matemáticas II,Matemáticas Aplicadas CC.SS.,Ciencias Generales,Biología,Dibujo Técnico II,Física,Geología y Ciencias Ambientales,Tecnología e Ingeniería II,Química,Empresa y Diseño de modelos de negocio,Geografía,Griego II,Historia del Arte,Dibujo Técnico aplicado a las artes plásticas y al diseño II,Diseño,Fundamentos Artísticos,Técnicas de Expresión Gráfico- Plástica,Coro y Técnica Vocal II,Historia nde la música y de la danza,Literatura dramática,Movimientos Culturales y Artísticos,Segunda Lengua Extranjera II
Nutrición Humana y Dietética + CC. Tecnología de los alimentos,C+SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Odontología,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Óptica y Optometría (rama de cc. salud),SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Óptica y Optometría (rama de ciencias),C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Pedagogía,SyJ,"0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,2","0,1"
Periodismo,SyJ,"0,2",,,,"0,2",,"0,1",,,,,,,,"0,2","0,2","0,2","0,1","0,2","0,2","0,1",,,"0,1","0,1","0,1","0,1"
Periodismo + Comunicación Audiovisual,SyJ,"0,2",,,,"0,2",,"0,1",,,,,,,,"0,2","0,2","0,2","0,1","0,2","0,2","0,1",,,"0,1","0,1","0,1","0,1"
Podología,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Psicología,SD,"0,1",,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,2",,,,,,,,,,,
Psicología y Logopedia,SD,"0,1",,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2","0,2","0,2",,,,,,,,,,,
Publicidad y Relaciones Públicas,SyJ,"0,1","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1","0,1",,,,"0,1","0,1"
Publicidad y Relaciones Públicas + Turismo,SyJ,"0,1","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1","0,1",,"0,1","0,1","0,1","0,2"
Publicidad y RR Públicas + Márketing e Inv. de Mercados,SyJ,"0,1","0,1","0,1","0,1","0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1","0,1",,,,"0,1","0,1"
Química,C,,,,,,"0,2","0,1","0,2","0,2","0,1","0,2","0,1","0,2","0,2",,,,,,,,,,,,,
Química + Enología,C,,,,,,"0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2",,,,,,,,,,,,,
Química + Ingeniería de Materiales,IyA,,,,,,"0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1",,,,,,,,,,,,
Relaciones Internacionales,SyJ,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1","0,2"
Relaciones Internacionales + CC.Políticas y de Admon,SyJ,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1","0,2"
Relaciones Internacionales + Derecho,SyJ,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1","0,2"
Relaciones Internacionales + Geografía e Historia,SyJ+AyH,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1","0,2"
Relaciones Internacionales + Traductores e Interpretes (Alemán),SyJ+AyH,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,"0,1","0,1","0,2"
Relaciones Internacionales + Traductores e Interpretes (Francés),SyJ+AyH,"0,2",,,,"0,2","0,1","0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,"0,1","0,1","0,2"
Relaciones Laborales y Recursos Humanos,SyJ,"0,2",,,,"0,1",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Sociología,SyJ,"0,2",,,,"0,1",,"0,2",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1",
Terapia Ocupacional,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
Trabajo Social,SyJ,"0,2",,,,"0,1",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,,,,,,"0,1",
Trabajo Social + Educación Social,SyJ,"0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,1","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,1"
Trabajo Social + Sociología,SyJ,"0,2",,,,"0,1",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1",,,"0,1",,,,,"0,1",
Traducción e Interpretación,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,,,"0,2","0,1","0,1","0,1","0,1",,,"0,1","0,1","0,1","0,2"
Traducción e Interpretación + Estudios Ingleses,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,,,"0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Traducción e Interpretación + Filología Hispánica,AyH,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,,,"0,2","0,1","0,1","0,1","0,1",,,"0,1","0,2","0,1","0,2"
Traducción e Interpretación + Turismo,AyH+SyJ,"0,2","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,1","0,1","0,2","0,2","0,1","0,1","0,1",,,"0,1","0,1","0,2","0,2"
Turismo,SyJ,"0,1","0,1","0,1","0,1","0,1",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1","0,1","0,1","0,1","0,1",,"0,1","0,1","0,1","0,2"
Turismo + Publicidad y Relaciones Públicas,SyJ,"0,1","0,1","0,1","0,1","0,2",,"0,1",,,,,,,,"0,2","0,2","0,1","0,1","0,2","0,2","0,1","0,1",,"0,1","0,1","0,1","0,2"
Veterinaria,SD,,,,,,"0,2","0,2","0,2","0,2","0,1","0,1","0,1","0,1","0,2",,,,,,,,,,,,,
No pondera,,112,157,157,156,114,64,0,80,80,90,88,85,88,81,39,111,111,107,149,149,138,181,202,158,163,107,149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pondera 0,1 ó 0,2",,103,58,58,59,101,151,215,135,135,125,127,130,127,130,173,102,104,108,66,66,77,34,13,57,52,108,66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pondera 0,1",,25,44,44,45,31,19,135,32,68,48,21,80,21,54,102,24,55,77,51,51,52,21,3,40,21,77,26
"Pondera 0,2",,78,14,14,14,70,132,80,103,67,77,106,50,106,76,71,78,49,31,15,15,25,13,10,17,31,31,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This work is marked with CC0 1.0. To view a copy of this license, visit http://creativecommons.org/publicdomain/zero/1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
